date,ghi,temperature,cloud_cover,effective_ghi,capacity_factor,generation_mwh,ppa_price,spot_price,rec_price,curtailment_fraction,available_mwh,daily_revenue_usd,is_drift_period
2022-01-01,87.56,4.05,0.5704,52.6,0.0526,10.79,45.13,44.75,9.44,0.0163,10.61,577.88,0
2022-01-02,50.77,-0.6,0.4839,33.57,0.0336,17.51,44.86,47.84,7.84,0.0621,16.43,880.34,0
2022-01-03,99.34,4.99,0.5922,58.16,0.0582,14.78,44.52,31.35,9.85,0.0307,14.33,722.3,0
2022-01-04,153.37,-3.4,0.6762,80.77,0.0808,22.22,44.17,34.0,7.99,0.0316,21.52,1056.9,0
2022-01-05,50.0,7.58,0.1791,43.73,0.0437,17.38,44.31,30.26,7.42,0.0393,16.69,793.21,0
2022-01-06,51.27,5.42,0.2748,41.41,0.0414,17.75,43.65,39.61,9.96,0.0044,17.67,925.64,0
2022-01-07,161.88,4.61,0.7092,81.52,0.0815,21.86,44.92,45.8,7.26,0.0166,21.5,1127.65,0
2022-01-08,115.09,7.58,0.3771,84.71,0.0847,21.35,43.32,23.12,5.88,0.0238,20.84,899.16,0
2022-01-09,50.0,10.38,0.0654,47.71,0.0477,12.84,45.19,40.59,7.22,0.0391,12.34,629.66,0
2022-01-10,105.71,7.85,0.1005,98.27,0.0983,28.71,44.96,35.36,8.93,0.0581,27.04,1379.44,0
2022-01-11,50.0,-3.49,0.3789,36.74,0.0367,14.56,45.15,38.73,10.09,0.0007,14.55,775.54,0
2022-01-12,50.0,-1.17,0.4728,33.45,0.0334,9.22,44.48,41.75,8.17,0.0594,8.67,449.4,0
2022-01-13,94.57,1.53,0.2351,79.01,0.079,24.82,48.08,36.82,9.98,0.0167,24.41,1334.42,0
2022-01-14,50.0,4.22,0.3756,36.86,0.0368,18.33,46.36,37.75,5.96,0.0226,17.91,890.85,0
2022-01-15,50.0,6.28,0.1983,43.06,0.0431,13.75,43.76,37.12,7.34,0.0063,13.66,670.65,0
2022-01-16,54.07,1.39,0.3872,39.42,0.0394,12.4,45.23,46.84,7.57,0.0461,11.82,630.0,0
